date,time,price
05.04.18,9:37:02.143704,69.92
05.04.18,9:41:10.576718,70.5
05.04.18,9:43:12.278459,70.4
05.04.18,9:46:09.600798,70.49
05.04.18,9:47:16.276705,70.5
05.04.18,9:49:09.516907,70.29
05.04.18,10:17:38.926034,70.35
05.04.18,10:20:17.550869,70.3
05.04.18,10:21:11.484988,70.26
05.04.18,10:22:17.138607,70.25
05.04.18,10:23:08.010425,70.21
05.04.18,10:26:01.665706,70.15
05.04.18,10:29:10.066705,70.14
05.04.18,10:33:11.648738,70.2
05.04.18,10:38:04.217818,70.05
05.04.18,10:42:03.882582,70.1
05.04.18,10:44:05.968966,70.02
05.04.18,10:45:11.731781,70.01
05.04.18,10:47:57.361828,70.0
05.04.18,15:19:02.659499,70.1
05.04.18,15:19:08.014595,70.2
05.04.18,15:23:13.612449,70.0
05.04.18,15:24:15.499188,70.1
05.04.18,15:25:03.909198,70.0
05.04.18,15:41:08.979599,70.0
06.04.18,9:36:03.901971,70.7
06.04.18,9:36:07.430851,70.7
06.04.18,9:36:11.392851,70.7
06.04.18,9:36:15.601403,70.7
06.04.18,9:36:19.570908,70.7
06.04.18,9:36:23.635504,70.7
06.04.18,9:37:19.856243,70.7
06.04.18,9:37:23.973836,70.7
06.04.18,9:37:27.876234,70.7
06.04.18,9:37:31.519326,70.7
06.04.18,9:37:35.825353,70.7
06.04.18,9:37:39.805703,70.7
06.04.18,9:37:49.508497,70.7
06.04.18,9:37:57.158808,70.75
06.04.18,9:38:01.517638,70.75
06.04.18,9:38:05.935582,70.75
06.04.18,9:38:10.845002,70.75
06.04.18,9:38:15.661752,70.75
06.04.18,9:38:21.174037,70.75
06.04.18,9:38:25.895346,70.75
06.04.18,9:38:32.643510,70.75
06.04.18,9:38:37.459517,70.75
06.04.18,9:38:43.060022,70.75
06.04.18,9:38:48.040813,70.75
06.04.18,9:38:55.883201,70.75
06.04.18,9:39:03.386534,70.75
06.04.18,9:39:08.439884,70.75
06.04.18,9:39:14.821948,70.71
06.04.18,9:39:23.356488,70.71
06.04.18,9:39:35.067968,70.71
06.04.18,9:39:39.133200,70.71
06.04.18,9:39:43.136659,70.71
06.04.18,9:39:47.031125,70.71
06.04.18,9:39:51.005938,70.71
06.04.18,9:39:55.212055,70.71
06.04.18,9:40:01.216139,70.6
06.04.18,9:40:06.998308,70.6
06.04.18,9:40:15.723189,70.6
06.04.18,9:40:27.318928,70.6
06.04.18,9:40:34.189246,70.6
06.04.18,9:40:40.574260,70.6
06.04.18,9:40:48.985366,70.6
06.04.18,9:40:54.838794,70.6
06.04.18,9:40:59.729328,70.6
06.04.18,9:41:05.032891,70.6
06.04.18,9:41:13.993704,70.6
06.04.18,9:41:21.479556,70.6
06.04.18,9:41:28.083395,70.6
06.04.18,9:41:37.016744,70.6
06.04.18,9:41:50.926417,70.6
06.04.18,9:42:05.607481,70.6
06.04.18,9:42:14.300963,70.6
06.04.18,9:42:22.298008,70.6
06.04.18,9:42:28.177694,70.6
06.04.18,9:42:33.080076,70.6
06.04.18,9:42:38.877462,70.6
06.04.18,9:42:48.393721,70.6
06.04.18,9:42:55.528998,70.6
06.04.18,9:43:07.378792,70.6
06.04.18,9:43:15.466458,70.6
06.04.18,9:43:20.864872,70.6
06.04.18,9:43:25.633173,70.6
06.04.18,9:43:31.055268,70.6
06.04.18,9:43:37.372211,70.6
06.04.18,9:43:43.024663,70.6
06.04.18,9:43:50.035652,70.6
06.04.18,9:43:54.530322,70.6
06.04.18,9:43:59.567555,70.6
06.04.18,9:44:04.611617,70.6
06.04.18,9:44:09.600316,70.6
06.04.18,9:44:14.820412,70.6
06.04.18,9:44:20.928945,70.6
06.04.18,9:44:28.691840,70.6
06.04.18,9:44:34.997204,70.6
06.04.18,9:44:43.522516,70.6
06.04.18,9:44:51.649672,70.6
06.04.18,9:44:58.684976,70.6
06.04.18,9:45:04.982061,70.6
06.04.18,9:45:10.890524,70.7
06.04.18,9:45:17.830814,70.7
06.04.18,9:45:22.956241,70.7
06.04.18,9:45:28.392536,70.7
06.04.18,9:45:34.690394,70.7
06.04.18,9:45:40.327622,70.7
06.04.18,9:45:46.677294,70.7
06.04.18,9:45:53.285584,70.7
06.04.18,9:45:58.445064,70.7
06.04.18,9:46:05.297870,70.7
06.04.18,9:46:12.698450,70.7
06.04.18,9:46:20.580436,70.7
06.04.18,9:46:25.829909,70.7
06.04.18,9:46:32.465328,70.7
06.04.18,9:46:41.374751,70.7
06.04.18,9:46:50.854292,70.7
06.04.18,9:46:59.911600,70.7
06.04.18,9:47:27.828405,70.7
06.04.18,9:47:37.280456,70.7
06.04.18,9:47:44.789874,70.7
06.04.18,9:47:50.730663,70.7
06.04.18,9:47:55.270983,70.7
06.04.18,9:48:00.091153,70.7
06.04.18,9:48:04.455675,70.45
06.04.18,9:48:09.700025,70.45
06.04.18,9:48:15.729841,70.45
