date,time,price
05.04.18,9:32:51.399974,175.0
05.04.18,9:41:04.676258,175.25
05.04.18,9:41:59.358722,175.45
05.04.18,15:19:18.952357,175.48
05.04.18,15:21:25.349130,175.5
05.04.18,15:25:22.230079,175.49
05.04.18,15:27:13.897420,175.45
05.04.18,15:28:03.824573,175.05
05.04.18,15:28:11.418982,175.45
05.04.18,15:28:17.521559,175.05
05.04.18,15:28:53.154888,175.12
05.04.18,15:31:15.018701,175.1
06.04.18,9:38:11.977549,176.3
06.04.18,9:38:16.357124,176.3
06.04.18,9:38:24.894043,176.3
06.04.18,9:38:30.963036,176.3
06.04.18,9:38:36.058511,176.3
06.04.18,9:38:40.996866,176.3
06.04.18,9:38:46.282021,176.3
06.04.18,9:38:52.608338,176.3
06.04.18,9:38:58.189508,176.3
06.04.18,9:39:03.326015,176.3
06.04.18,9:39:08.466431,176.3
06.04.18,9:39:17.403258,176.3
06.04.18,9:39:26.203447,176.3
06.04.18,9:39:33.797578,176.3
06.04.18,9:39:39.132342,176.3
06.04.18,9:39:43.390546,176.3
06.04.18,9:39:47.146154,176.3
06.04.18,9:39:51.188562,176.3
06.04.18,9:39:55.905866,176.3
06.04.18,9:40:01.460748,176.3
06.04.18,9:40:07.025676,176.3
06.04.18,9:40:15.757110,176.3
06.04.18,9:40:26.867580,176.3
06.04.18,9:40:34.252267,176.3
06.04.18,9:40:40.345162,176.3
06.04.18,9:40:46.495060,176.3
06.04.18,9:40:51.208454,176.3
06.04.18,9:40:57.921448,176.3
06.04.18,9:41:02.866836,176.3
06.04.18,9:41:11.681408,176.1
06.04.18,9:41:20.640297,176.1
06.04.18,9:41:27.530385,176.1
06.04.18,9:41:36.494289,176.1
06.04.18,9:41:48.527195,176.1
06.04.18,9:41:58.273220,176.11
06.04.18,9:42:11.103268,176.11
06.04.18,9:42:19.501740,176.11
06.04.18,9:42:26.566646,176.11
06.04.18,9:42:32.692329,176.11
06.04.18,9:42:38.629660,176.11
06.04.18,9:42:48.829072,176.11
06.04.18,9:42:55.737084,176.11
06.04.18,9:43:00.203838,176.11
06.04.18,9:43:04.901141,176.11
06.04.18,9:43:08.493601,176.15
06.04.18,9:43:16.716508,176.15
06.04.18,9:43:21.088509,176.11
06.04.18,9:43:26.706005,176.15
06.04.18,9:43:31.954652,176.15
06.04.18,9:43:38.321975,176.15
06.04.18,9:43:44.618252,176.15
06.04.18,9:43:50.003208,176.15
06.04.18,9:43:54.511990,176.15
06.04.18,9:43:59.887066,176.15
06.04.18,9:44:04.722338,176.15
06.04.18,9:44:09.748677,176.15
06.04.18,9:44:14.356429,176.15
06.04.18,9:47:33.944101,176.1
06.04.18,9:47:43.128902,176.1
06.04.18,9:47:48.298727,176.1
06.04.18,9:47:53.693063,176.1
06.04.18,9:48:03.385033,176.1
06.04.18,9:48:09.044253,176.1
06.04.18,9:48:17.384930,176.1
06.04.18,9:48:24.822945,176.1
06.04.18,9:48:32.396323,176.1
06.04.18,9:48:42.210941,176.1
06.04.18,9:48:59.209498,176.1
06.04.18,9:49:03.810802,176.1
06.04.18,9:49:10.243291,176.1
06.04.18,9:49:18.084509,176.1
06.04.18,9:49:28.087347,176.1
06.04.18,9:49:37.728360,176.1
06.04.18,9:49:47.884246,176.1
06.04.18,9:49:54.674275,176.1
06.04.18,9:50:03.509788,176.2
06.04.18,9:50:13.610237,176.2
06.04.18,9:50:25.197309,176.2
06.04.18,9:50:35.829197,176.2
06.04.18,9:50:47.879095,176.2
06.04.18,9:51:00.744278,176.2
06.04.18,9:51:06.242095,176.2
06.04.18,9:51:13.113098,176.2
06.04.18,9:51:23.155333,176.2
06.04.18,9:51:32.435994,176.2
06.04.18,9:51:41.842670,176.2
06.04.18,9:51:54.936767,176.2
06.04.18,9:52:04.966128,176.2
06.04.18,9:52:14.593433,176.2
06.04.18,9:52:21.712088,176.2
06.04.18,9:52:29.759791,176.2
06.04.18,9:52:39.242052,176.2
06.04.18,9:52:47.308061,176.2
06.04.18,9:52:58.679572,176.2
06.04.18,9:53:10.447393,176.2
06.04.18,9:53:19.095498,176.2
06.04.18,9:53:26.615210,176.2
06.04.18,9:53:35.549409,176.2
06.04.18,9:53:43.569846,176.2
06.04.18,9:53:53.275280,176.2
06.04.18,9:53:58.837218,176.2
06.04.18,9:54:03.869610,176.29
06.04.18,9:54:08.475472,176.29
06.04.18,9:54:12.954442,176.29
06.04.18,9:54:19.954058,176.29
06.04.18,9:54:24.486703,176.29
06.04.18,9:54:32.317816,176.29
06.04.18,9:54:38.363920,176.29
06.04.18,9:54:44.375573,176.29
06.04.18,9:54:50.909021,176.29
06.04.18,9:54:56.736404,176.29
06.04.18,9:55:01.711941,176.29
06.04.18,9:55:06.372723,176.29
06.04.18,9:55:12.077011,176.29
06.04.18,9:55:17.437901,176.29
06.04.18,9:55:21.889718,176.29
06.04.18,9:55:27.333246,176.29
06.04.18,9:55:33.376226,176.29
06.04.18,9:55:38.962842,176.29
06.04.18,9:55:44.526724,176.29
06.04.18,9:55:49.751771,176.29
06.04.18,9:55:54.405193,176.29
06.04.18,9:56:01.015263,176.29
06.04.18,9:56:06.108507,176.29
06.04.18,9:56:11.348204,176.29
06.04.18,9:56:16.880818,176.29
06.04.18,9:56:23.980549,176.29
06.04.18,9:56:28.973662,176.29
06.04.18,9:56:34.565824,176.29
06.04.18,9:56:39.804361,176.29
06.04.18,9:56:44.521013,176.29
06.04.18,9:56:51.287630,176.29
06.04.18,9:56:58.063134,176.29
06.04.18,9:57:06.924059,176.29
06.04.18,9:57:14.212456,176.29
06.04.18,9:57:21.843270,176.29
06.04.18,9:57:32.636803,176.29
06.04.18,9:57:38.923164,176.29
06.04.18,9:57:45.443357,176.29
06.04.18,9:57:51.094308,176.29
06.04.18,9:57:56.221900,176.2
06.04.18,9:58:06.529302,176.29
06.04.18,9:58:11.999439,176.29
06.04.18,9:58:18.520829,176.2
06.04.18,9:58:23.253456,176.2
06.04.18,9:58:29.627668,176.2
06.04.18,9:58:37.735013,176.2
06.04.18,9:58:43.557273,176.2
06.04.18,9:58:49.355366,176.2
06.04.18,9:58:56.637803,176.2
06.04.18,9:59:04.218159,176.2
06.04.18,9:59:09.922857,176.2
06.04.18,9:59:16.076367,176.2
06.04.18,9:59:23.938953,176.2
06.04.18,9:59:29.692750,176.2
06.04.18,9:59:35.232559,176.2
06.04.18,9:59:40.326751,176.2
06.04.18,9:59:45.234292,176.2
06.04.18,9:59:51.635417,176.2
06.04.18,9:59:57.499565,176.2
06.04.18,10:00:02.375695,176.3
06.04.18,10:00:07.298891,176.3
06.04.18,10:00:11.647657,176.3
06.04.18,10:00:17.416807,176.3
06.04.18,10:00:23.275278,176.3
06.04.18,10:00:27.688314,176.3
06.04.18,10:00:32.185933,176.3
06.04.18,10:00:37.844661,176.3
06.04.18,10:00:42.763485,176.3
06.04.18,10:00:48.502156,176.3
06.04.18,10:00:56.664854,176.3
06.04.18,10:01:02.213411,176.3
06.04.18,10:01:08.026732,176.3
06.04.18,10:01:13.105165,176.3
06.04.18,10:01:17.360990,176.3
06.04.18,10:01:22.558211,176.3
06.04.18,10:01:30.317236,176.3
06.04.18,10:01:36.028974,176.3
06.04.18,10:01:41.256615,176.3
06.04.18,10:01:46.236396,176.3
06.04.18,10:01:51.875170,176.3
06.04.18,10:01:56.843446,176.3
06.04.18,10:02:02.406673,176.3
06.04.18,10:02:07.593244,176.3
06.04.18,10:02:12.852393,176.3
06.04.18,10:02:17.658723,176.3
06.04.18,10:02:23.605709,176.3
06.04.18,10:02:28.118748,176.3
06.04.18,10:02:36.034095,176.3
06.04.18,10:02:44.900291,176.3
06.04.18,10:02:51.290066,176.3
06.04.18,10:02:56.743359,176.3
06.04.18,10:03:01.912367,176.3
06.04.18,10:03:08.747130,176.3
06.04.18,10:03:14.298866,176.3
06.04.18,10:03:21.065322,176.3
06.04.18,10:03:27.927694,176.3
06.04.18,10:03:36.425665,176.3
06.04.18,10:03:48.964052,176.3
06.04.18,10:04:05.268958,176.3
06.04.18,10:04:11.988614,176.3
06.04.18,10:04:18.314292,176.3
06.04.18,10:04:27.023888,176.3
06.04.18,10:04:34.957969,176.3
06.04.18,10:04:43.206088,176.3
06.04.18,10:04:55.894545,176.3
06.04.18,10:05:02.214410,176.3
06.04.18,10:05:08.034358,176.3
06.04.18,10:05:13.011299,176.3
06.04.18,10:08:17.556352,176.31
06.04.18,10:08:22.423581,176.31
06.04.18,10:08:28.919472,176.31
06.04.18,10:08:42.359572,176.31
06.04.18,10:08:55.356409,176.31
06.04.18,10:09:03.920568,176.31
06.04.18,10:09:11.055150,176.31
06.04.18,10:09:16.837232,176.31
06.04.18,10:09:22.364182,176.31
06.04.18,10:09:30.656791,176.31
06.04.18,10:09:37.775674,176.31
06.04.18,10:09:44.134940,176.31
06.04.18,10:09:49.745598,176.31
06.04.18,10:09:58.125386,176.31
06.04.18,10:10:07.028849,176.31
06.04.18,10:10:14.219340,176.31
06.04.18,10:10:23.540340,176.31
06.04.18,10:10:28.210780,176.31
06.04.18,10:10:32.717169,176.31
06.04.18,10:10:39.712258,176.31
06.04.18,10:10:47.894057,176.31
06.04.18,10:10:55.932995,176.31
06.04.18,10:11:01.484081,176.31
06.04.18,10:11:07.086523,176.31
06.04.18,10:11:13.933275,176.31
06.04.18,10:11:20.054826,176.31
06.04.18,10:11:27.420250,176.31
06.04.18,10:11:31.723962,176.31
06.04.18,10:11:36.857059,176.31
06.04.18,10:11:42.727505,176.31
06.04.18,10:11:48.121227,176.31
06.04.18,10:11:53.168517,176.31
06.04.18,10:11:58.135731,176.45
06.04.18,10:12:03.005974,176.45
06.04.18,10:12:07.734213,176.45
06.04.18,10:12:12.795459,176.45
06.04.18,10:12:18.048115,176.31
06.04.18,10:12:24.506986,176.45
06.04.18,10:12:31.816160,176.45
06.04.18,10:12:36.322050,176.45
06.04.18,10:12:41.571334,176.45
06.04.18,10:12:46.212816,176.45
06.04.18,10:12:54.118552,176.45
06.04.18,10:13:00.095482,176.45
06.04.18,10:13:05.439856,176.45
06.04.18,10:13:12.091091,176.45
06.04.18,10:13:20.099767,176.45
06.04.18,10:13:26.568043,176.45
06.04.18,10:13:32.572855,176.45
06.04.18,10:13:37.732588,176.45
06.04.18,10:13:42.448455,176.45
06.04.18,10:13:47.595090,176.45
06.04.18,10:13:54.978066,176.45
06.04.18,10:14:00.975632,176.5
06.04.18,10:14:09.438917,176.5
06.04.18,10:14:14.364076,176.5
06.04.18,10:14:20.262461,176.5
06.04.18,10:14:25.554138,176.45
06.04.18,10:14:31.364920,176.5
06.04.18,10:14:37.118384,176.5
06.04.18,10:14:43.149827,176.5
06.04.18,10:14:48.408433,176.5
06.04.18,10:14:56.843691,176.5
06.04.18,10:15:02.957586,176.5
06.04.18,10:15:10.884318,176.5
06.04.18,10:15:15.588771,176.5
06.04.18,10:15:21.857183,176.5
06.04.18,10:15:26.388483,176.5
06.04.18,10:15:32.391617,176.5
06.04.18,10:15:38.116890,176.5
06.04.18,10:15:42.829988,176.5
06.04.18,10:15:49.394904,176.5
06.04.18,10:15:57.551021,176.5
06.04.18,10:16:05.003668,176.2
06.04.18,10:16:11.243617,176.2
06.04.18,10:16:16.490220,176.2
06.04.18,10:16:22.171855,176.2
06.04.18,10:16:28.794740,176.2
06.04.18,10:16:35.517491,176.2
06.04.18,10:16:41.930802,176.2
06.04.18,10:16:47.844399,176.2
06.04.18,10:16:53.680749,176.2
06.04.18,10:17:00.865882,176.2
06.04.18,10:17:08.010836,176.2
06.04.18,10:17:14.975443,176.2
06.04.18,10:17:20.925724,176.2
06.04.18,10:17:26.796888,176.2
06.04.18,10:17:32.449324,176.2
06.04.18,10:17:41.678941,176.2
06.04.18,10:17:49.526868,176.2
06.04.18,10:17:59.153598,176.2
06.04.18,10:18:09.904156,176.2
06.04.18,10:18:15.103473,176.2
06.04.18,10:18:21.007867,176.2
06.04.18,10:18:26.874940,176.2
06.04.18,10:18:32.156092,176.2
06.04.18,10:18:36.023770,176.2
06.04.18,10:18:41.595963,176.2
06.04.18,10:18:45.789565,176.2
06.04.18,10:18:50.789799,176.2
06.04.18,10:18:56.247068,176.2
06.04.18,10:19:03.268787,176.2
06.04.18,10:19:16.249177,176.2
06.04.18,10:19:23.372986,176.2
06.04.18,10:19:30.348274,176.25
06.04.18,10:19:37.577860,176.25
06.04.18,10:19:44.609701,176.25
06.04.18,10:19:55.777460,176.3
06.04.18,10:20:02.519547,176.3
06.04.18,10:20:08.379936,176.3
06.04.18,10:20:15.227793,176.3
06.04.18,10:20:21.726225,176.3
06.04.18,10:20:28.210030,176.3
06.04.18,10:20:34.098496,176.3
06.04.18,10:20:38.981904,176.3
06.04.18,10:20:46.706268,176.3
06.04.18,10:20:58.115329,176.3
06.04.18,10:21:06.516867,176.3
06.04.18,10:21:12.913318,176.25
06.04.18,10:21:23.107156,176.25
06.04.18,10:21:31.767524,176.3
06.04.18,10:21:40.294283,176.25
06.04.18,10:21:47.160954,176.25
06.04.18,10:21:54.220324,176.25
06.04.18,10:21:59.958494,176.25
06.04.18,10:22:07.354364,176.25
06.04.18,10:22:15.040908,176.25
06.04.18,10:22:21.940923,176.25
06.04.18,10:22:29.290215,176.25
06.04.18,10:22:36.177677,176.25
06.04.18,10:22:48.677844,176.25
06.04.18,10:23:06.873535,176.0
06.04.18,10:23:17.981064,176.0
06.04.18,10:23:28.338678,176.0
06.04.18,10:23:36.304151,176.0
06.04.18,10:23:43.862554,176.0
06.04.18,10:23:49.989543,176.0
06.04.18,10:23:56.179694,176.0
06.04.18,10:24:01.455939,175.75
06.04.18,10:24:07.485568,175.75
06.04.18,10:24:13.788398,175.75
06.04.18,10:24:19.456406,175.75
06.04.18,10:24:25.095590,175.75
06.04.18,10:24:31.236222,175.75
06.04.18,10:24:36.388840,175.75
06.04.18,10:24:41.992137,175.75
06.04.18,10:24:52.989669,175.75
06.04.18,10:24:59.685382,175.75
06.04.18,10:25:05.135989,175.75
06.04.18,10:25:10.885636,175.75
06.04.18,10:25:17.788774,175.75
06.04.18,10:25:23.493511,175.75
06.04.18,10:25:28.650804,175.75
06.04.18,10:25:33.310351,175.75
06.04.18,10:25:38.161684,175.75
06.04.18,10:25:43.282016,175.75
06.04.18,10:25:48.721282,175.75
06.04.18,10:25:53.608614,175.75
06.04.18,10:26:00.336763,175.75
06.04.18,10:26:07.750076,175.75
06.04.18,10:26:13.724603,175.75
06.04.18,10:26:18.871300,175.75
06.04.18,10:26:23.466068,175.75
06.04.18,10:26:28.843880,175.75
06.04.18,10:26:34.138500,175.75
06.04.18,10:26:39.989806,175.75
06.04.18,10:26:44.935218,175.75
06.04.18,10:26:52.204589,175.75
06.04.18,10:26:58.184588,175.75
06.04.18,10:27:03.806961,175.75
06.04.18,10:27:11.814042,175.75
06.04.18,10:27:19.729357,175.75
06.04.18,10:27:24.975758,175.75
06.04.18,10:27:29.179810,175.75
06.04.18,10:27:36.071974,175.75
06.04.18,10:27:40.133585,175.75
06.04.18,10:27:44.268120,175.75
06.04.18,10:27:48.993470,175.75
06.04.18,10:27:53.245511,175.75
06.04.18,10:27:58.034073,175.75
06.04.18,10:28:02.368985,175.75
06.04.18,10:28:08.908285,175.75
06.04.18,10:28:14.046757,175.75
06.04.18,10:28:20.783220,175.75
06.04.18,10:28:27.307674,175.75
06.04.18,10:28:33.331152,175.75
06.04.18,10:28:42.217368,175.75
06.04.18,10:28:47.256601,175.75
06.04.18,10:28:54.677609,175.75
06.04.18,10:29:01.239956,175.75
06.04.18,10:29:06.914946,175.75
06.04.18,10:29:12.699490,175.75
06.04.18,10:29:18.329900,175.5
06.04.18,10:29:23.875014,175.5
06.04.18,10:29:29.817204,175.5
06.04.18,10:29:36.521179,175.5
06.04.18,10:29:45.162451,175.5
06.04.18,10:29:54.184086,175.5
06.04.18,10:30:02.600713,176.0
06.04.18,10:30:09.567320,176.0
06.04.18,10:30:15.016489,176.0
06.04.18,10:30:20.096368,176.0
06.04.18,10:30:25.620366,176.0
06.04.18,10:30:34.953675,176.0
06.04.18,10:30:40.084150,176.0
06.04.18,10:30:46.933960,176.0
06.04.18,10:31:02.112816,176.0
06.04.18,10:31:09.524948,176.0
06.04.18,10:31:14.978541,176.0
06.04.18,10:31:21.235027,176.0
06.04.18,10:31:28.780533,176.0
06.04.18,10:31:36.799997,176.0
06.04.18,10:31:45.663058,176.0
06.04.18,10:31:52.092717,176.0
06.04.18,10:31:56.770186,176.0
06.04.18,10:32:01.289240,176.0
06.04.18,10:32:06.028479,176.0
06.04.18,10:32:12.144205,176.0
06.04.18,10:32:18.390451,176.0
06.04.18,10:32:24.607482,176.0
06.04.18,10:32:31.873882,176.0
06.04.18,10:32:39.228797,176.0
06.04.18,10:32:51.102842,176.0
06.04.18,10:32:58.529447,176.0
06.04.18,10:33:11.743855,176.0
06.04.18,10:33:20.035065,176.0
06.04.18,10:33:32.642602,176.0
06.04.18,10:33:38.480997,176.0
06.04.18,10:33:45.611247,176.0
06.04.18,10:33:54.385941,176.0
06.04.18,10:34:01.670613,176.0
06.04.18,10:34:07.487308,176.0
06.04.18,10:34:13.834766,176.0
06.04.18,10:34:21.898825,176.0
06.04.18,10:34:36.023709,176.0
06.04.18,10:34:46.919585,176.0
06.04.18,10:34:55.170918,176.0
06.04.18,10:35:04.625648,176.0
06.04.18,10:35:18.625287,176.0
06.04.18,10:35:27.514648,176.0
06.04.18,10:35:34.259330,176.0
06.04.18,10:35:42.590129,176.0
06.04.18,10:35:52.035193,176.0
06.04.18,10:36:01.944247,176.0
06.04.18,10:36:16.944160,176.0
06.04.18,10:36:29.376501,176.0
06.04.18,10:36:36.052926,176.0
06.04.18,10:36:41.965652,176.0
06.04.18,10:36:48.692604,176.0
06.04.18,10:37:00.726382,176.0
06.04.18,10:37:10.081530,176.0
06.04.18,10:37:21.539661,176.0
06.04.18,10:37:29.481031,176.0
06.04.18,10:37:37.397137,176.0
06.04.18,10:37:46.766805,176.0
06.04.18,10:37:58.665377,176.0
06.04.18,10:38:07.142898,176.0
06.04.18,10:38:12.195995,176.0
06.04.18,10:38:18.884242,176.0
06.04.18,10:38:27.228571,176.0
06.04.18,10:38:36.411429,176.0
06.04.18,10:38:44.162945,176.0
06.04.18,10:38:54.634944,176.0
06.04.18,10:39:01.589290,176.0
06.04.18,10:39:08.760697,176.0
06.04.18,10:39:18.927984,176.0
06.04.18,10:39:28.542061,176.0
06.04.18,10:39:40.953578,176.0
06.04.18,10:39:47.701253,176.0
06.04.18,10:39:52.949802,176.0
06.04.18,10:39:58.633741,176.0
06.04.18,10:40:08.973426,176.2
