date,time,price
05-04-18,9:47:41.659641,336.0
05-04-18,10:17:44.768087,335.0
05-04-18,10:18:33.955281,335.39
05-04-18,10:18:41.166998,335.0
05-04-18,10:18:45.526075,335.39
05-04-18,10:20:16.155281,335.04
05-04-18,10:20:20.159027,335.39
05-04-18,10:20:24.459632,335.04
05-04-18,10:21:18.402713,335.0
05-04-18,10:21:23.394640,335.04
05-04-18,10:21:28.846339,335.0
05-04-18,10:22:27.628055,335.38
05-04-18,10:23:11.547748,335.0
05-04-18,10:23:29.942295,335.38
05-04-18,10:23:40.164571,335.0
05-04-18,10:26:04.847727,335.74
05-04-18,10:27:17.111364,335.5
05-04-18,10:28:21.903591,335.01
05-04-18,10:28:31.582293,335.5
05-04-18,10:28:38.340525,335.01
05-04-18,10:29:18.272355,335.5
05-04-18,10:29:23.204994,335.01
05-04-18,10:29:30.801671,335.5
05-04-18,10:30:59.163300,335.98
05-04-18,10:31:11.710958,336.0
05-04-18,10:31:26.590142,335.98
05-04-18,10:31:31.676761,336.0
05-04-18,10:33:09.760751,335.5
05-04-18,10:34:30.082125,335.83
05-04-18,10:35:20.818568,336.0
05-04-18,10:38:25.346464,335.21
05-04-18,10:38:31.151114,336.0
05-04-18,10:38:43.219279,335.21
05-04-18,10:40:25.542773,336.0
05-04-18,10:40:43.726622,335.21
05-04-18,10:40:50.232703,336.0
05-04-18,10:42:33.429140,335.21
05-04-18,10:47:12.041715,334.8
05-04-18,10:49:31.706644,334.8
05-04-18,10:50:29.042695,335.87
05-04-18,10:50:35.512215,334.8
05-04-18,10:50:47.612433,335.87
05-04-18,10:52:21.613400,335.0
05-04-18,13:17:32.218213,337.0
05-04-18,13:18:11.592652,338.0
05-04-18,13:19:21.004109,337.5
05-04-18,13:20:13.525345,337.0
05-04-18,13:21:22.318436,338.0
05-04-18,13:25:25.082884,337.9
05-04-18,15:18:54.773419,337.4
05-04-18,15:19:08.247566,337.99
05-04-18,15:20:34.191702,337.15
05-04-18,15:21:33.616367,337.49
05-04-18,15:22:29.632350,337.21
05-04-18,15:22:45.963326,337.49
05-04-18,15:22:51.737940,337.21
05-04-18,15:24:34.302722,337.0
05-04-18,15:26:25.830628,336.99
05-04-18,15:27:13.274691,337.99
05-04-18,15:28:38.465074,337.9
06.04.18,09:31:59.07,330.57
06.04.18,09:37:28.20,330.57
06.04.18,22:32:30.599386,337.56
06.04.18,9:21:30.000049,341.65
06.04.18,9:21:36.181908,341.65
06.04.18,9:21:40.462299,341.65
06.04.18,9:21:45.144800,341.65
06.04.18,9:21:49.037898,341.65
06.04.18,9:21:52.592693,341.65
06.04.18,9:21:57.987111,341.65
06.04.18,9:22:02.002764,341.65
06.04.18,9:22:06.175730,341.65
06.04.18,9:22:10.067022,341.65
06.04.18,9:22:14.037598,341.65
06.04.18,9:22:18.650519,341.65
06.04.18,9:22:25.268522,341.0
06.04.18,9:22:30.149027,341.0
06.04.18,9:22:35.199384,341.0
06.04.18,9:22:40.153684,341.0
06.04.18,9:22:44.413570,341.65
06.04.18,9:22:48.496870,341.0
06.04.18,9:22:55.088026,341.0
06.04.18,9:23:01.757149,341.0
06.04.18,9:23:07.781309,342.0
06.04.18,9:23:14.191893,342.0
06.04.18,9:23:19.768850,342.0
06.04.18,9:23:24.948835,341.0
06.04.18,9:23:29.788339,342.0
06.04.18,9:23:35.862283,342.0
06.04.18,9:23:42.875683,342.0
06.04.18,9:23:50.104260,342.0
06.04.18,9:23:58.644927,342.0
06.04.18,9:24:05.484719,342.0
06.04.18,9:24:11.134725,342.0
06.04.18,9:24:18.537592,343.0
06.04.18,9:24:25.511381,343.0
06.04.18,9:24:32.361770,343.0
06.04.18,9:24:38.049331,343.0
06.04.18,9:24:43.764400,343.0
06.04.18,9:24:48.872282,343.0
06.04.18,9:24:55.342235,343.0
06.04.18,9:25:00.751827,343.0
06.04.18,9:25:05.460154,343.0
06.04.18,9:25:11.008839,343.9
06.04.18,9:25:16.719956,343.9
06.04.18,9:25:21.439188,343.0
06.04.18,9:25:25.883465,343.9
06.04.18,9:25:30.584278,343.9
06.04.18,9:25:36.837069,343.9
06.04.18,9:25:41.485876,343.9
06.04.18,9:25:47.078664,343.9
06.04.18,9:25:52.301606,343.9
06.04.18,9:25:59.058511,343.9
06.04.18,9:26:03.877278,343.9
06.04.18,9:26:10.182632,343.9
06.04.18,9:26:14.913047,345.0
06.04.18,9:26:19.504730,345.0
06.04.18,9:26:25.052602,345.0
06.04.18,9:26:30.924372,345.0
06.04.18,9:26:37.413686,345.0
06.04.18,9:26:42.442167,345.0
06.04.18,9:26:47.650107,345.0
06.04.18,9:26:52.776977,345.0
06.04.18,9:26:59.407149,345.0
06.04.18,9:27:05.228830,345.0
06.04.18,9:27:10.658776,345.0
06.04.18,9:27:16.409573,345.0
06.04.18,9:27:21.454874,345.0
06.04.18,9:27:26.503554,345.0
06.04.18,9:27:31.472056,345.0
06.04.18,9:27:36.501849,345.0
06.04.18,9:27:41.260722,345.0
06.04.18,9:27:46.906835,345.0
06.04.18,9:27:54.004954,345.0
06.04.18,9:28:00.913283,345.0
06.04.18,9:28:06.966324,344.5
06.04.18,9:28:13.607027,344.5
06.04.18,9:28:19.258319,344.5
06.04.18,9:28:25.491259,344.5
06.04.18,9:28:31.868338,344.5
06.04.18,9:28:39.444756,344.5
06.04.18,9:28:46.341667,344.5
06.04.18,9:28:51.545604,344.5
06.04.18,9:28:57.042040,344.5
06.04.18,9:29:01.372300,344.5
06.04.18,9:29:06.043501,344.5
06.04.18,9:29:10.633338,344.0
06.04.18,9:29:16.574518,344.5
06.04.18,9:29:24.792750,344.0
06.04.18,9:29:32.015056,344.0
06.04.18,9:29:36.932038,344.5
06.04.18,9:29:42.352597,344.0
06.04.18,9:29:47.280172,344.0
06.04.18,9:29:53.287919,344.0
06.04.18,9:29:59.379898,344.0
06.04.18,9:30:04.479548,344.0
06.04.18,9:30:09.540127,344.0
06.04.18,9:30:16.839764,344.0
06.04.18,9:30:21.886982,344.0
06.04.18,9:30:26.940127,344.0
06.04.18,9:30:33.847180,343.5
06.04.18,9:30:38.557821,344.0
06.04.18,9:30:45.446501,343.5
06.04.18,9:30:50.468104,343.5
06.04.18,9:30:55.495076,343.5
06.04.18,9:31:00.544398,343.5
06.04.18,9:31:06.019187,343.5
06.04.18,9:31:10.870293,343.5
06.04.18,9:31:15.719001,343.5
06.04.18,9:31:21.080044,343.0
06.04.18,9:31:25.770129,343.0
06.04.18,9:31:32.228421,343.0
06.04.18,9:31:37.454476,343.0
06.04.18,9:31:43.248581,343.0
06.04.18,9:31:48.379374,343.0
06.04.18,9:31:52.928261,343.0
06.04.18,9:31:59.211348,343.0
06.04.18,9:32:05.096575,343.0
06.04.18,9:32:10.512310,343.0
06.04.18,9:32:15.500986,343.0
06.04.18,9:32:21.879646,343.0
06.04.18,9:32:26.807135,343.0
06.04.18,9:32:34.650275,343.0
06.04.18,9:32:39.708874,343.0
06.04.18,9:32:47.135910,343.0
06.04.18,9:32:52.507546,343.0
06.04.18,9:32:57.416314,343.0
06.04.18,9:33:07.088444,343.0
06.04.18,9:33:12.904412,342.5
06.04.18,9:33:19.083868,342.5
06.04.18,9:33:24.081688,342.5
06.04.18,9:33:29.485818,342.5
06.04.18,9:33:35.426729,342.5
06.04.18,9:33:40.138147,342.5
06.04.18,9:33:45.187246,342.5
06.04.18,9:33:50.756054,342.5
06.04.18,9:34:05.189082,342.5
06.04.18,9:34:14.395807,342.5
06.04.18,9:34:19.330325,342.5
06.04.18,9:34:28.197004,342.51
06.04.18,9:34:33.293544,342.5
06.04.18,9:34:38.364262,342.51
06.04.18,9:34:46.389569,342.51
06.04.18,9:34:52.331533,342.51
06.04.18,9:35:00.852633,342.51
06.04.18,9:35:06.962727,342.51
06.04.18,9:35:11.626112,342.51
06.04.18,9:35:17.613673,342.51
06.04.18,9:35:23.545200,342.5
06.04.18,9:35:29.116204,342.51
06.04.18,9:35:35.767379,342.5
06.04.18,9:35:42.016426,342.5
06.04.18,9:35:48.323222,342.5
06.04.18,9:35:55.683197,342.5
06.04.18,9:36:06.098334,343.0
06.04.18,9:36:11.924225,343.0
06.04.18,9:36:17.062495,343.0
06.04.18,9:36:23.074708,343.0
06.04.18,9:36:28.190187,343.0
06.04.18,9:36:34.977227,343.0
06.04.18,9:36:39.939587,343.0
06.04.18,9:36:45.165303,343.0
06.04.18,9:36:50.098055,343.0
06.04.18,9:36:55.470029,343.0
06.04.18,9:37:00.615648,343.0
06.04.18,9:37:06.341758,343.0
06.04.18,9:37:13.972343,343.0
06.04.18,9:37:19.174198,343.0
06.04.18,9:37:24.375057,343.0
06.04.18,9:37:29.388347,343.0
06.04.18,9:37:34.251034,343.0
06.04.18,9:37:38.681275,343.0
06.04.18,9:37:48.668578,343.0
06.04.18,9:38:00.011917,343.0
06.04.18,9:38:06.119799,343.0
06.04.18,9:38:17.651476,343.0
06.04.18,9:38:23.476006,343.0
06.04.18,9:38:28.476016,343.0
06.04.18,9:38:33.834978,343.0
06.04.18,9:38:39.747394,343.0
06.04.18,9:38:44.966837,343.0
06.04.18,9:38:50.033137,343.0
06.04.18,9:38:55.131631,343.0
06.04.18,9:39:02.690727,343.0
06.04.18,9:39:07.860204,343.0
06.04.18,9:39:13.204133,343.5
06.04.18,9:39:18.155716,343.5
06.04.18,9:39:22.913609,343.5
06.04.18,9:49:24.982868,342.97
06.04.18,9:49:33.427206,342.97
06.04.18,9:49:40.566318,342.97
06.04.18,9:49:48.470477,342.97
06.04.18,9:49:55.651908,342.97
06.04.18,9:50:03.194557,342.97
06.04.18,9:50:11.207331,342.97
06.04.18,9:50:24.770140,343.0
06.04.18,9:50:32.601048,343.0
06.04.18,9:50:39.162071,343.0
06.04.18,9:52:24.600159,343.0
06.04.18,9:52:37.711682,343.6
06.04.18,9:52:49.765962,343.6
06.04.18,9:52:58.107557,343.6
06.04.18,9:53:09.606962,344.0
06.04.18,9:53:17.767468,344.0
06.04.18,9:53:26.555169,344.0
