date,time,price
05.04.18,9:47:06.533830,207
05.04.18,9:48:48.514466,207.94
05.04.18,9:48:52.599689,207
05.04.18,9:48:58.720656,207.94
05.04.18,9:49:04.850193,207
05.04.18,9:49:15.325511,207.94
05.04.18,10:17:42.114569,207.01
05.04.18,10:21:38.810852,207
05.04.18,10:26:41.450236,207.01
05.04.18,10:28:50.996927,207
05.04.18,15:19:07.283023,210.5
05.04.18,15:19:45.150934,211.1
05.04.18,15:20:40.636061,211.75
05.04.18,15:21:34.778231,211.5
05.04.18,15:23:32.192258,211.25
05.04.18,15:25:00.085789,211.97
05.04.18,15:27:41.557489,211.49
05.04.18,15:28:49.284060,211.5
05.04.18,15:29:00.232940,211.49
05.04.18,15:29:06.233546,211.5
05.04.18,15:31:01.031084,211
06.04.18,9:37:44.451403,215
06.04.18,9:37:47.647485,215
06.04.18,9:37:52.275926,215
06.04.18,9:37:56.872353,215
06.04.18,9:38:01.209925,215
06.04.18,9:38:06.105725,215
06.04.18,9:38:11.080243,215
06.04.18,9:38:22.065852,215
06.04.18,9:38:26.168320,215
06.04.18,9:38:32.571863,215
06.04.18,9:38:37.964550,215
06.04.18,9:38:42.592916,215
06.04.18,9:38:47.603365,215
06.04.18,9:38:53.136413,214.6
06.04.18,9:38:58.322846,214.6
06.04.18,9:39:04.078780,214.6
06.04.18,9:39:09.568919,214.6
06.04.18,9:39:16.157298,214.6
06.04.18,9:39:24.524941,214.6
06.04.18,9:39:32.421351,214.99
06.04.18,9:39:37.830643,214.99
06.04.18,9:39:41.541314,214.99
06.04.18,9:39:45.408892,214.99
06.04.18,9:39:49.539999,214.99
06.04.18,9:39:53.517419,214.99
06.04.18,9:39:57.301384,214.99
06.04.18,9:40:01.707625,214.99
06.04.18,9:40:07.324503,214.99
06.04.18,9:40:17.112015,214.99
06.04.18,9:40:27.309516,214.99
06.04.18,9:40:34.001673,214.99
06.04.18,9:40:40.124647,214.99
06.04.18,9:40:44.680262,214.99
06.04.18,9:40:48.802980,214.99
06.04.18,9:40:55.171440,215
06.04.18,9:40:59.631659,215
06.04.18,9:41:05.214344,215
06.04.18,9:41:13.587387,215
06.04.18,9:41:21.826625,215
06.04.18,9:41:28.220317,215
06.04.18,9:41:36.042284,215
06.04.18,9:41:46.575440,214.88
06.04.18,9:41:56.677636,214.88
06.04.18,9:42:11.723245,214.88
06.04.18,9:42:21.046133,214.88
06.04.18,9:42:27.741462,214.88
06.04.18,9:42:33.099498,214.88
06.04.18,9:42:38.857048,214.88
06.04.18,9:42:47.891013,214.88
06.04.18,9:42:54.407124,214
06.04.18,9:42:58.445626,214.88
06.04.18,9:43:06.593061,214
06.04.18,9:43:13.161215,214
06.04.18,9:43:21.707306,214
06.04.18,9:43:26.944996,214
06.04.18,9:43:32.018241,214
06.04.18,9:43:37.002206,214
06.04.18,9:43:42.431229,214
06.04.18,9:43:49.122199,214
06.04.18,9:43:54.832325,214
06.04.18,9:43:59.818582,214
06.04.18,9:44:04.507260,214
06.04.18,9:44:09.572522,214
06.04.18,9:44:14.513347,214
06.04.18,9:44:20.863749,214
06.04.18,9:44:26.588701,214
06.04.18,9:44:31.475194,214
06.04.18,9:44:38.498790,214
06.04.18,9:44:46.283863,214
06.04.18,9:44:58.621592,214
06.04.18,9:45:04.452600,214
06.04.18,9:45:10.350250,214
06.04.18,9:45:17.091638,214
06.04.18,9:45:22.044007,214
06.04.18,9:45:27.617152,214
06.04.18,9:45:33.130277,214
06.04.18,9:45:39.257937,214
06.04.18,9:45:44.257093,214.5
06.04.18,9:45:49.971214,214.5
06.04.18,9:45:55.813097,214.5
06.04.18,9:46:00.534166,214.5
06.04.18,9:46:08.344051,214.5
06.04.18,9:46:15.647696,214.5
06.04.18,9:46:22.470836,214.5
06.04.18,9:46:27.552974,214.5
06.04.18,9:46:35.080655,215
06.04.18,9:46:49.013936,215
06.04.18,9:46:56.161347,214.5
06.04.18,9:47:06.824649,215
06.04.18,9:47:13.474020,215
06.04.18,9:47:25.529742,215
06.04.18,9:47:32.814005,215
06.04.18,9:47:39.898836,215
06.04.18,9:47:44.731904,215
06.04.18,9:47:50.410773,214.5
06.04.18,9:47:56.058148,214.5
06.04.18,9:48:01.684164,214.5
06.04.18,9:48:06.915652,214.5
06.04.18,9:48:11.954752,214.5
06.04.18,9:48:17.327665,214.5
06.04.18,9:48:24.753922,214.5
06.04.18,9:48:31.988467,214.5
06.04.18,9:48:41.420273,214.5
06.04.18,9:48:55.549053,215
06.04.18,9:49:04.995055,215
06.04.18,9:49:10.995914,215
06.04.18,9:49:19.867584,215
06.04.18,9:49:39.561224,215
06.04.18,9:49:47.503869,215
06.04.18,9:49:53.303935,215
06.04.18,9:50:00.533164,215
06.04.18,9:50:12.540732,215
06.04.18,9:50:22.296851,215
06.04.18,9:50:32.594244,215
06.04.18,9:50:39.964505,215
06.04.18,9:50:46.354097,215
06.04.18,9:50:58.014116,214.85
06.04.18,9:51:02.787834,214.85
06.04.18,9:51:09.510853,214.85
06.04.18,9:51:17.351102,214.85
06.04.18,9:51:30.343346,214.85
06.04.18,9:51:40.266520,214.85
06.04.18,9:51:52.318051,215
06.04.18,9:52:00.646159,215
06.04.18,9:52:08.582730,215
06.04.18,9:52:15.245702,215
06.04.18,9:52:26.351026,215
06.04.18,9:52:33.235865,215
06.04.18,9:52:42.638792,215
06.04.18,9:52:53.771011,215
06.04.18,9:53:01.083222,215
06.04.18,9:53:08.890557,215
06.04.18,9:53:15.130806,215
06.04.18,9:53:22.493796,215
06.04.18,9:53:32.880477,215
06.04.18,9:53:39.570457,215
06.04.18,9:53:47.825962,215
06.04.18,9:53:53.572471,215
06.04.18,9:53:59.733648,215
06.04.18,9:54:03.953884,215
06.04.18,9:54:08.166094,215
06.04.18,9:54:12.640202,215
06.04.18,9:54:18.915231,215
