date,time,price
2018-04-06,9:21:38.831521,226
2018-04-06,9:21:43.484031,226
2018-04-06,9:21:47.898632,226
2018-04-06,9:21:51.320762,226
2018-04-06,9:21:55.176780,226
2018-04-06,9:22:01.580311,226
2018-04-06,9:22:05.584853,226
2018-04-06,9:22:08.985024,226
2018-04-06,9:22:12.941540,226
2018-04-06,9:22:16.974129,226
2018-04-06,9:22:20.867821,226
2018-04-06,9:22:24.917363,226
2018-04-06,9:22:28.681625,225.11
2018-04-06,9:22:33.126478,226
2018-04-06,9:22:36.729330,225.11
2018-04-06,9:22:41.468559,225.11
2018-04-06,9:22:45.385776,225.11
2018-04-06,9:22:49.085459,225.11
2018-04-06,9:22:52.754194,225.11
2018-04-06,9:22:56.708203,225.11
2018-04-06,9:23:02.113044,225.11
2018-04-06,9:23:07.755060,225.11
2018-04-06,9:23:14.070419,225.11
2018-04-06,9:23:19.380140,225.11
2018-04-06,9:23:24.711219,225.11
2018-04-06,9:23:29.995388,225.11
2018-04-06,9:23:35.548611,225.11
2018-04-06,9:23:42.828729,228
2018-04-06,9:23:47.726269,225.11
2018-04-06,9:23:52.173533,228
2018-04-06,9:24:01.253670,225.11
2018-04-06,9:24:08.467989,228
2018-04-06,9:24:14.129507,228
2018-04-06,9:24:22.188889,228
2018-04-06,9:24:28.712385,228
2018-04-06,9:24:34.273423,228
2018-04-06,9:24:41.553184,226
2018-04-06,9:24:50.621663,226
2018-04-06,9:24:56.010130,226
2018-04-06,9:25:01.465867,226
2018-04-06,9:25:06.841617,226
2018-04-06,9:25:11.757873,226
2018-04-06,9:25:19.056536,226
2018-04-06,9:25:23.684963,226
2018-04-06,9:25:28.271637,226
2018-04-06,9:25:34.437258,226
2018-04-06,9:25:39.146638,226
2018-04-06,9:25:43.775514,226
2018-04-06,9:25:48.518181,226
2018-04-06,9:25:53.942547,226
2018-04-06,9:25:58.794184,225.06
2018-04-06,9:26:03.700726,225.06
2018-04-06,9:26:08.556530,225.06
2018-04-06,9:26:13.119558,225.06
2018-04-06,9:26:17.312966,225.06
2018-04-06,9:26:25.468377,225.06
2018-04-06,9:26:30.944896,225.06
2018-04-06,9:26:36.769972,225.1
